id,chiffre_cles,mots_cles,description,description_sup,source
chiffre_1,+56%,par rapport à l'objectif (2017)., 3135 kgeq CO2 ont été émis pour un objectif de 2000 kgeqCO2 pour respecter l'objectif 2°C.,3135 kgeq CO2 ont été émis pour un objectif de 2000 kgeqCO2 pour respecter l'objectif 2°C,
chiffre_2,38 092,kteq CO2,"sont émis en l’IDF en 2017, scope 1 et 2. (0.98 teqCO2 = 1 aller retour Paris New-York)",0.98 teqCO2 = 1 aller retour Paris New-York,AIRPARIF
chiffre_3,36%,,"issus du résidentiel, 30% issus du secteur routier (2017), dont 87.5% à Métropole du Paris.",87.5% à Métropole du Paris,AIRPARIF
