Departement,Nom commune,Nom de la chaufferie,Nom Maître d'ouvrage,Contact Maître d'ouvrage,Nom Exploitant,Contact Exploitant,Nom installateur/constructeur,Nom fournisseur biomasse,Année de mise en service,Année de mise en arret ou de rénovation,État chaufferie au plus récent,Aide ADEME,Aide Région,Aide autres,AAP concerné,Nombre de chaudières,Type chaufferie,Catégorie chaufferie,Secteurs desservis,Marque chaudière,Puissance biomasse totale (kW),Classe puissance totale,Puissance d'appoint (kW),Type d'appoint,Type approvisionnement,Tonnes  PFA (IDF),Tonnes CIB (IDF),Tonnes BFVBD (IDF),Tonnes GR (IDF),Total IDF,Tonnes PFA (hors IDF),Tonnes CIB (hors IDF),Tonnes BFVBD (hors IDF),Tonnes GR (hors IDF),Total Hors IDF,Non-précisé,Total,Production estimée (TEP/an),Production_estim_MWh,classe production
92,GENNEVILLIERS,Chaufferie de Gennevilliers,Commune de Gennevilliers,,ENGIE (Cofely - Gennevilliers Energie),,,,2017,,2 - En fonctionnement,oui,oui,,AAPB4,1,Collective,Réseau de chaleur existant,Résidentiel,,17000,>1 MW,,,"Plaquette forestière (PFA-1A), MIX (BFVBD-3A/PFA-1A) et broyat palette (BFVBD-3A)",15539,,825,,16364,,,,,0,4055,20419,5183.920894,60289,>1 200 MWh/an
92,NANTERRE,Maison du Chemin de l'Ile,Commune de Nanterre,,,,,,2011,,2 - En fonctionnement,oui,oui,,,1,Collective,Chaufferie dédiée,Tertiaire,,50,<1 MW,0,,Plaquettes forestières,50,0,0,0,50,,,,,0,,50,10,116.3,<1 200 MWh/an
92,NANTERRE,Eco quartier Hoche,Paris la Défense (Ex : EPADESA),,ENERBIOSA (filiale d'ENERTHERM),,,Biocombustibles SA (associé à Belbéo'ch,2011,,2 - En fonctionnement,oui,oui,,,1,Collective,Chaufferie dédiée,Résidentiel,,1600,>1 MW,3200,Gaz naturel,Bois en fin de vie - bois d'élagage - plaquettes forestières,400,200,1400,,2000,,,,,0,,2000,413,4803.19,>1 200 MWh/an
92,RUEIL-MALMAISON,ZAC de l'Arsenal,Commune de Rueil Malmaison,,,,,,2019,,3 - En cours de construction,oui,oui,,AAP B7,1,Collective,chaufferie sur réseau de chaleur,,,1770,>1 MW,,,,3680,,,,3680,736,,,,736,,4416,940,10932.2,>1 200 MWh/an
92,SURESNES,Site des Raguidelles,Commune de Suresnes,,,,,,2011,,2 - En fonctionnement,oui,oui,,,1,Collective,Réseau de chaleur existant,Tertiaire,,600,<1 MW,0,,Granulés,,,,,0,,,,490,490,,490,195.7,2275.991,>1 200 MWh/an
93,AUBERVILLIERS,"Cités Cochennec, Tillon et Jarry",OPHLM d'Aubervilliers,,,,,,2012,,2 - En fonctionnement,,oui,,,1,Collective,Chaufferie dédiée,Résidentiel,,750,<1 MW,,,,,,,,0,,,,,0,1220,1220,249,2895.87,>1 200 MWh/an
93,BAGNOLET,Chaufferie des Roses,SDCB,,ENGIE (Cofely),,,,2015,,2 - En fonctionnement,oui,oui,,,2,Collective,Réseau de chaleur existant,Industrie,,20000,>1 MW,,,Plaquette forestière (PFA-1A) et broyat palette (BFVBD-3A),23283,0,4903,0,28186,,,,,0,,28186,7404.213242,86111,>1 200 MWh/an
93,BOBIGNY,Hôpital Avicenne,APHP,,ENGIE (Cofely),,,,2014,,2 - En fonctionnement,oui,oui,,,1,Tertiaire,Réseau de chaleur existant,,Compte-R,500,<1 MW,,3 chaudières mixtes gaz/fioul,Plaquette forestière (PFA-1A) et MIX (BFVBD-3A/PFA-1A),779,0,,0,779,,,,,0,2837,3616,929.5786758,10811,>1 200 MWh/an
93,BONDY,Chaufferie biomasse de Bondy,Syndicat Mixte pour la Production et la Distribution de Chaleur de Bondy (SMPDC),,Coriance (Société Thermique de Bondy - STB),michael.gaspard@groupe-coriance / Tél : 06 10 97 59 15,,,2015,,2 - En fonctionnement,oui,oui,,AAP B2,2,Collective,chaufferie sur réseau de chaleur,,EuroBiomass,4800,>1 MW,,,"Plaquettes forestières
(60%) et  bois de recyclage (40%) 6 provenance IDF",5461,0,4167,0,9628,,,,,0,,9628,2252,26190.76,>1 200 MWh/an
93,BONDY,,,,Coriance,,,,2021,,5 - A l'étude,,,,AAP B8,1,Collective,Création d'un réseau de chaleur,,,5000,>1 MW,,,,6231,,1800,,8031,2077,,,,2077,,10108,2089,24295.07,>1 200 MWh/an
93,DRANCY,Centre Technique Intercommunal,Paris Terres d'Envol,,ENGIE (Cofely),,Eiffage Construction Seine-et-Marne,,2012,,2 - En fonctionnement,,oui ?,,,1,Industrielle,Chaufferie dédiée,Industrie,,300,<1 MW,,,Plaquettes forestière,,,,,0,,,,,0,,0,25.79535684,300,<1 200 MWh/an
93,DRANCY,Chaufferie biomasse du Quartier Avenir Parisien,OPH Drancy,,ENGIE (Cofely),,,,2016,,2 - En fonctionnement,oui,oui,,,1,Collective,Chaufferie dédiée,Résidentiel/Tertiaire,,900,<1 MW,4600,gaz,MIX (BFVBD-3A/PFA-1A),,0,,,0,,,,,0,953,953,252.8804815,2941,>1 200 MWh/an
93,NOISY-LE-GRAND,Chaufferie communale de Noisy-le-Grand,Commune de Noisy-le-Grand,,Coriance,,,,2013,,2 - En fonctionnement,,,,AAPB 1,2,Collective,Réseau de chaleur existant,Tertiaire,,1150,>1 MW,2000,gaz,,600,0,0,0,600,400,,,,400,,1000,310,3605.3,>1 200 MWh/an
93,SAINT-DENIS,Centrale de Fort de l’Est,SMIREC (Syndicat Mixte des Réseaux d’Energie Calorifique),,ENGIE (Cofely - Plaine Commune Energie),,,SOVEN,2016,,2 - En fonctionnement,oui,,,AAP Biomasse S5,1,Collective,Réseau de chaleur existant,Résidentiel,,26500,>1 MW,35000,gaz,Plaquettes forestières (PFA-1A) et broyat palette (BFVBD-3A),32718,,8353,,41071,,,,,0,,41071,10877.73001,126508,>1 200 MWh/an
93,SAINT-OUEN,Saint-Ouen 2,Commune de Saint-Ouen - CPCU,,ENGIE,,,,2016,,2 - En fonctionnement,,,,,1,Collective,Chaufferie sur réseau de chaleur,Résidentiel/Tertiaire,,247000,>1 MW,247000,charbon,Granulés de bois,,,,,0,,,,140000,140000,,140000,48151.33276,560000,>1 200 MWh/an
93,SEVRAN,Chaufferie biomasse de Sevran,SEAPFA (Syndicat d’Equipement et d’Aménagement des Pays de France et de l’Aulnoye),,Dalkia (Sevran Energie Biomasse - Sebio),,Dalkia,"Forest (filiale Dalkia) pour plaquettes forestières, Veolia Propreté pour bois de recyclage et Ecosys pour bois d’élagage et de refus de compost",2015,,2 - En fonctionnement,oui,oui,,AAP B2,2,Collective,Chaufferie sur réseau de chaleur,Résidentiel/Tertiaire,Weiss,7500,>1 MW,35000,gaz,Plaquettes forestières (PFA-1A) et MIX (BFVBD-3A/PFA-1A),13104,0,,0,13104,0,,,,0,4468,17572,2373.172829,27600,>1 200 MWh/an
93,STAINS,Centrale Nord de Stains,SMIREC (Syndicat Mixte des Réseaux d’Energie Calorifique),,ENGIE (Cofely - Plaine Commune Energie),,,SOVEN,2011,,2 - En fonctionnement,oui,oui,,,2,Collective,Chaufferie sur réseau de chaleur,Résidentiel,Weiss,16000,>1 MW,54000,gaz,"Plaquettes forestières (PFA-1A), MIX (BFVBD-3A/PFA-1A) et broyat palette (BFVBD-3A)",6919,0,14969,0,21888,,,,,0,16179,38067,17196.90456,200000,>1 200 MWh/an
93,TREMBLAY-EN-FRANCE,CENTREAL,L'Oréal,,,,,,2012,,2 - En fonctionnement,,,,,1,Industrielle,Chaufferie dédiée,Industrie,,500,<1 MW,0,,Granulés,0,0,0,220,220,,,,,0,,220,90,1046.7,<1 200 MWh/an
94,FONTENAY-SOUS-BOIS,Régie du Chauffage Urbain de Fontenay,Ville de Fontenay-sous-Bois/ RCU,,,,,,2010,,2 - En fonctionnement,,,,,1,Collective,Réseau de chaleur existant,,,17400,>1 MW,,,Granulés (Sologne),0,0,,,0,,,,6043,6043,,6043,2468,28702.84,>1 200 MWh/an
94,IVRY-SUR-SEINE,Hôpital Chales-Foix,APHP,,Dalkia,,,,2017,,2 - En fonctionnement,oui,oui,,,1,Collective,Chaufferie dédiée,Tertiaire,Weiss,2000,>1 MW,,,Plaquettes forestières,3300,0,0,0,3300,1100,0,0,0,1100,,4400,793,9222.59,>1 200 MWh/an
94,LIMEIL-BRÉVANNES,Eco quartier des Temps Durables,Société de Chaleur de Limeil Brevanne,,ENGIE,,,,2011,,2 - En fonctionnement,oui,oui,,,1,Collective,Chaufferie dédiée,Résidentiel,,500,<1 MW,2000,chaudière biomasse liquide,Plaquettes forestières (PFA-1A),4611,0,,,4611,,,,,0,,4611,1077.128117,12527,>1 200 MWh/an
94,LE PLESSIS-TRÉVISE,,SMBI (promoteur),,,,,,2021,,5 - A l'étude,,,,,1,Collective,Chaufferie dédiée,,,200,<1 MW,,,,,,,,0,,,,,0,,0,10,116.3,<1 200 MWh/an
94,VILLIERS-SUR-MARNE,Résidence MAGNOLIAS,SMBI (promoteur),,,,Agronergy,,2020,,2 - En fonctionnement,,,,,1,Collective,Chaufferie dédiée,,,200,<1 MW,,,,,,,,0,,,,,0,,0,,,
95,ARGENTEUIL,Chaufferie Orgemont,Commune d'Argenteuil,,Dalkia (ARGEVALOR),,,,2015,,2 - En fonctionnement,oui,oui,,,1,Collective,Réseau de chaleur existant,,Compte-R,1700,>1 MW,,gaz,,2820,0,0,0,2820,1880,,,,1880,,4700,798,9280.74,>1 200 MWh/an
95,CHAUSSY,Ferme de la Bergerie,Fondation Charles Léopold MAYER pour le progrès de l’homme,,,,,Appro interne depuis 2015 (250 hectares du domaine),2011,,2 - En fonctionnement,,oui,,,1,Collective,Chaufferie dédiée,Tertiaire,,600,<1 MW,170,bois,Plaquette bois forestière,300,,,,300,,,,,0,,300,60,697.8,<1 200 MWh/an
95,ENGHIEN-LES-BAINS,Gymnase de la Coussaye,Commune d'Enghien les Bains,,,,,,2010,,2 - En fonctionnement,oui,oui,,,1,Collective,Chaufferie dédiée,Tertiaire,,70,<1 MW,0,,Granulés,0,0,0,70,70,,,,,0,,70,29,337.27,<1 200 MWh/an
95,FRANCONVILLE,Chaufferie des Montfrais,"SICSEF (Syndicat Intercommunal de Chauffage de Sannois, Ermont et Franconville)",,ENGIE (Cofely - SEFIR),,,,2014,,2 - En fonctionnement,,,,AAP B3,1,Collective,Réseau de chaleur existant,Résidentiel,,10000,>1 MW,,,"Plaquette forestière (PFA-1A), MIX (BFVBD-3A/PFA-1A et PFA-1A/PFA-1C) et broyat palette (BFVBD-3A)",9855,,5010,0,14865,,,,,0,1451,16316,4335.597592,50423,>1 200 MWh/an
95,GARGES-LÈS-GONESSE,Collège Pablo Picasso,Département du Val d'Oise,,,,,,2009,,2 - En fonctionnement,oui,oui,,,1,Collective,Chaufferie dédiée,Tertiaire,,320,<1 MW,1400,Gaz naturel,Plaquettes paysagères et forestières depuis la plateforme BIOVIVA d'Attainville,317,0,0,0,317,,,,,0,,317,89,1035.07,<1 200 MWh/an
95,LASSY,Gasma,GASMA SCEA,,,,,,2005,,2 - En fonctionnement,,,,,1,Industrielle,Chaufferie dédiée,Agriculture,,720,<1 MW,0,,Plaquettes élagage,250,0,0,0,250,,,,,0,710,960,250,2907.5,>1 200 MWh/an
95,MONTMORENCY,,Commune de Montmorency,,Dalkia,,,,2008,,2 - En fonctionnement,oui,oui,,,1,Collective,Chaufferie dédiée,Tertiaire,,220,<1 MW,0,,Plaquettes paysagères en provenance de la plateforme BIOVIVA de Roissy,80,0,0,0,80,,,,,0,,80,23,267.49,<1 200 MWh/an
95,NEUVILLE-SUR-OISE,SDIS,Service Départemental d'Incendie et de Secours du Val d'Oise (SDIS),,,,,,2010,,2 - En fonctionnement,,oui,,,1,Collective,Chaufferie dédiée,Tertiaire,,930,<1 MW,,,,,,,,0,,,,,0,458,458,91.6,1065.308,<1 200 MWh/an
95,PIERRELAYE,Picheta,Société Picheta,,,,,Appro interne,2009,,2 - En fonctionnement,oui,,,,1,Collective,Chaufferie dédiée,industrie,,110,<1 MW,0,,Plaquettes forestières,45,0,0,0,45,,,,,0,,45,12,139.56,<1 200 MWh/an
