id,chiffre_cles,mots_cles,description,description_sup,source
chiffre_1,"3,2%",de l'objectif ,de productivité des parcs photovoltaïques (2017). 77 GWh pour un objectif SRCAE 2030 à 2400 GWh.,77 GWh pour un objectif SRCAE 2030 à 2400 GWh.,Plaquette du ROSE
chiffre_2,"22,3%",de l'objectif ,de productivité des sites de méthanisation (2017). 890 GWh pour un objectif SRCAE 2030 de 2000 GWh.,890 GWh pour un objectif SRCAE 2030 de 2000 GWh.,DRIEE
chiffre_3,"3,4%",de l'objectif ,de productivité des parcs éoliens (2017). 92 GWh pour un objectif SRCAE 2030 à 2700 GWh.,92 GWh pour un objectif SRCAE 2030 à 2700 GWh.,Plaquette du ROSE
