id,chiffre_cles,mots_cles,description,description_sup,source
chiffre_1,43, millions déplacements,"s'effectuent chaque jour en île-de-France, 3,8 par habitant, 18 km en moyenne, près de 70% en dehors de Paris.","3,8 par habitant, 18 km en moyenne, près de 70% en dehors de Paris",TDB du observatoire de mobilité
chiffre_2,10%,,de l’usage de mode actifs et +20% de l’usage de trasnports collectifs en Île-de-France par rapport au 2010.,+20% de l’usage de trasnports collectifs par rapport au 2010.,TDB du observatoire de mobilité
chiffre_3,-12%,,"d'énergie consommée en 2017 par rapport à 2005, dont -2,7% entre 2015 et 2017.","dont -2,7% entre 2015 et 2017.",Plaquette du ROSE
